ADP	por	med
ADP	en	baɬ
ADP	de	kas
ADP	con	po
ADP	al	ro
ADP	del	roɮ
PRON	qué	sez
PRON	él	re
PRON	quién	se
PRON	que	bo
PRON	tú	die
VERB	perder	idebe
VERB	parar	ukata
VERB	sembrar	akalie
VERB	sentir	ekalsa
VERB	gritar	adone
VERB	vivir	unese
VERB	ver	esekis
VERB	hacer	unihel
VERB	converger	opiekoz
VERB	romper	epaka
VERB	florecer	akeɬnul
DET	tu	kot
DET	qué	ne
DET	el	to
DET	uno	pi
DET	ese	rez
DET	todo	nin
DET	del	nat
DET	él	neɬ
ADJ	primero	omolo
ADJ	malo	emasas
ADJ	perdido	onunien
ADJ	solo	ependi
NOUN	serenidad	temaɬ
NOUN	ángel	kieɾge
NOUN	puerta	lopol
NOUN	sonrisa	lisaɮ
NOUN	espada	leta
NOUN	mano	rivier
NOUN	angustia	zaɬpe
NOUN	llanura	talu
NOUN	ojo	lesi
NOUN	adorno	nedi
NOUN	dios	ramer
NOUN	día	rodo
NOUN	repente	kanaz
NOUN	terror	dirpe
NOUN	voz	viɬni
NOUN	pensamiento	reli
NOUN	cruce	zata
NOUN	viento	hone
NOUN	dolor	vopu
NOUN	diamante	keye
NOUN	sueño	nilie
NOUN	mar	nienel
NOUN	estupor	kena
NOUN	medio	rola
NOUN	universo	wena
NOUN	nota	temo
NOUN	altura	serez
NOUN	vacío	kirku
NOUN	bien	sineɮ
NOUN	mal	dosi
NOUN	verdad	diro
NOUN	orden	diko
NOUN	belleza	ledel
SCONJ	como	u
AUX	ser	di
AUX	estar	na
AUX	haber	ni
CCONJ	y	a
CCONJ	ni	e
ADV	no	sodie
OP	y	la
OP	no	le
LOC		fa
NV	murmullo	siema
V	poder	eritze
V	traducir	esarde